银行名称	URL
国家开发银行	http://www.cdb.com.cn/
中国进出口银行	http://www.eximbank.gov.cn/
中国农业发展银行	http://www.adbc.com.cn/
中国工商银行	http://www.icbc.com.cn/
中国农业银行	http://www.abchina.com/
中国银行	http://www.bank-of-china.com/
中国建设银行	http://www.ccb.com
交通银行	http://www.bankcomm.com/
中信银行	http://www.ecitic.com/
中国光大银行	http://www.cebbank.com/
华夏银行	http://www.hxb.com.cn/
中国民生银行	http://www.cmbc.com.cn/
招商银行	http://www.cmbchina.com/
兴业银行	http://www.cib.com.cn/cn/index.html
广发银行	http://www.cgbchina.com.cn/
平安银行	http://bank.pingan.com/index.jsp
上海浦东发展银行	http://www.spdb.com.cn/
恒丰银行	http://www.egbank.com.cn/
浙商银行	http://www.czbank.com/
渤海银行	http://www.cbhb.com.cn/
中国邮政储蓄银行	http://www.psbc.com/
汇丰中国	http://www.hsbc.com.cn
东亚银行	http://www.hkbea.com.cn/
渣打银行	https://www.sc.com/cn/
荷兰银行（中国）有限公司	http://www.abnamro.com.cn/
企业银行（中国）有限公司	http://www.ibkcn.com/
中信嘉华银行（中国）有限公司	http://www.citicbankintl.com/
外换银行（中国）有限公司	http://www.chinakeb.com/
德意志银行（中国）有限公司	https://china.db.com/china/index.html
法国兴业银行（中国）有限公司	http://www.societegenerale.cn/cn/index.htm
国民银行（中国）有限公司	http://www.kbstarchina.com/
韩亚银行（中国）有限公司	http://www.hanabank.cn/hubPT/
摩根大通银行（中国）有限公司	http://www.jpmorganchina.com.cn/country/CN/zh/jpmorgan
瑞士银行（中国）有限公司	https://www.ubs.com/cn/sc.html
新韩银行（中国）有限公司	http://www.shinhanchina.com/html/main/main.html
友利银行（中国）有限公司	http://www.wooribankchina.com/
企业银行(中国)有限公司	http://www.ibkcn.com
花旗中国	http://www.citibank.com.cn
瑞穗中国	http://www.mizuhocbk.com/china/cn
恒生中国	http://www.hangseng.com.cn
星展中国	http://www.dbs.com/cn
华侨永亨中国	http://www.ocbc.com.cn/group/CN/group-home.html
南商中国	http://www.ncbchina.cn/cn/index.html
大华中国	http://www.uobchina.com.cn/cn/personal/index.html
法巴中国	http://www.bnpparibas.com.cn/zh/
三井中国	http://www.smbc.co.jp/global/network/china/index.html
盘谷中国	http://www.bangkokbank.com.cn/index_1.html
澳新中国	http://www.anz.com/china/cn-simp/about-us/
富邦华一中国	http://www.fubonchina.com/
华美中国	http://www.eastwestbank.com.cn
正信银行	http://www.zhengxinbank.com/
浦发硅谷银行	http://www.spd-svbank.com/cn/index.html
永丰银行	https://bank.sinopac.com/bsp/index/index.asp
首都银行（中国）有限公司	http://www.metrobank.com.cn/
摩根士丹利国际银行(中国)有限公司	http://www.morganstanleychina.com/about/china/msbi.html
友利银行成都分行	http://www.wooribankchina.com/
泰国开泰银行成都分行	http://www.kasikornbank.com/
恒生银行成都分行	http://www.hangseng.com.cn/
华侨永亨银行成都分行	http://www.ocbc.com.cn/
澳大利亚和新西兰银行成都分行	http://www.anz.com/
东亚银行成都分行	http://www.hkbea.com.cn/
法国巴黎银行成都代表处	https://group.bnpparibas/
汇丰银行成都分行	http://www.hkbea.com.cn/
第一商业银行成都分行	https://www.firstbank.com
渣打银行成都分行	http://www.sc.com/
花旗银行成都分行	https://www.citibank.com.cn
富邦华一银行有限公司成都分行	http://www.fsbankonline.com/
大华银行成都分行	http://www.uobchina.com.cn/
南洋商业银行成都分行	http://www.ncbchina.cn/cn/index.html
摩根大通银行成都分行	http://www.jpmorganchina.com.cn/
三菱东京日联银行成都分行	http://www.bk.mufg.jp/global/
新联商业银行	http://www.alliedbankchina.com.cn/
华商银行	http://www.cmbcn.com.cn/
大新银行（中国）有限公司	http://www.dahsing.com/tc/html/index.html
中信银行国际（中国）有限公司	http://www.citicbankintl.com/home/tc/index.jsp
华融公司	http://www.chamc.com.cn/
长城公司	http://www.gwamcc.com/
东方公司	http://www.coamc.com.cn/
信达公司	http://www.cinda.com.cn/
北京银行股份有限公司	http://www.bankofbeijing.com.cn
天津银行	http://www.bank-of-tianjin.com
河北银行股份有限公司	http://www.hebbank.com/
张家口银行股份有限公司	http://www.zjkccb.com/Index.html
承德银行股份有限公司	http://www.chengdebank.com
秦皇岛银行股份有限公司	http://www.qhdbank.cn
唐山银行股份有限公司	http://www.ts-bank.cn/
廊坊银行股份有限公司	http://www.lccb.com.cn/
保定银行股份有限公司	http://www.bd-bank.com.cn/
沧州银行股份有限公司	http://www.czccb.cn/
衡水银行股份有限公司	http://www.hengshuibank.com/
邢台银行股份有限公司	http://www.xtbank.com
邯郸银行股份有限公司	http://www.hdcb.cn/hdyh/index.html
晋商银行股份有限公司	http://www.jshbank.com
大同银行股份有限公司	http://www.chndtb.com
晋城银行股份有限公司	http://www.jccbank.com.cn
晋中银行股份有限公司	http://www.jzbank.com
阳泉市商业银行股份有限公司	http://www.yqccb.com
长治银行股份有限公司	http://www.czccb.com
包商银行股份有限公司	http://www.bsb.com.cn/
内蒙古银行股份有限公司	http://www.boimc.com.cn/
鄂尔多斯银行股份有限公司	http://www.ordosbank.com/homepage.jsf
乌海银行股份有限公司	http://www.wuhaicb.com/
盛京银行	http://www.shengjingbank.com.cn/
鞍山银行	http://www.bankofas.com
抚顺银行	http://www.bankoffs.com.cn/
本溪市商业银行	http://www.bankofbx.com/
丹东银行	http://www.dandongbank.com/
锦州银行	http://www.jinzhoubank.com
营口银行	http://www.bankofyk.com/
营口沿海银行	http://www.coastalbank.cn/
阜新银行	http://www.fuxinbank.com/
辽阳银行	http://www.bankofliaoyang.net
铁岭市商业银行	http://www.bankoftieling.com/
朝阳银行	http://www.cycb.com
盘锦市商业银行	http://www.bankofpj.com/
葫芦岛银行	http://www.bankofhld.com
吉林银行	http://www.jlbank.com.cn/
龙江银行	http://www.lj-bank.com/
哈尔滨银行	http://www.hrbcb.com.cn/
上海银行	http://www.bankofshanghai.com
江苏银行	http://www.jsbchina.cn/
南京银行	http://www.njcb.com.cn/
江苏长江商业银行	http://www.cjccb.com/
苏州银行	http://www.suzhoubank.com/
杭州银行	http://www.hzbank.com.cn/
温州银行	http://www.wzcb.com.cn/
嘉兴银行	http://www.jxccb.com/
湖州银行	http://www.hzccb.net/
绍兴银行	http://www.sxccb.com/
金华银行	http://www.jhccb.com.cn
浙江稠州商业银行	http://www.czcb.com.cn/
台州商行	http://www.tzbank.com/
